TaskID,TaskName,Category,Duration,RequiredSkills,PreferredPhases,MaxConcurrent
T001,Database Optimization,Infrastructure,2,"database,analytics",1-3,2
T002,Frontend Development,Development,3,"frontend,design","1,3,5",3
T003,API Integration,Development,1,"backend,api",2-4,2
T004,Security Audit,Security,2,"security,testing",1-2,1
T005,Data Analysis,Analytics,1,"analytics,reporting",3-5,2
T006,Mobile App Feature,Development,3,"mobile,frontend",2-4,2
T007,Documentation Update,Support,1,"documentation,technical writing","1,3,5",3
T008,User Experience Testing,Design,2,"ux,testing",3-5,1
T009,Financial Reporting,Analytics,2,"reporting,analytics,visualization",4-5,1
T010,Content Management,Support,1,"frontend,documentation",1-3,2